时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月13日 18:15:34.116,0.4,0.9,0.4,1.0,2385.0,1985.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:35.112,0.4,0.9,0.4,1.0,2337.0,1983.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:36.133,0.4,0.9,0.4,0.9,2383.0,2005.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:37.120,0.4,0.9,0.4,1.1,2248.0,2020.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:38.116,0.4,0.9,0.4,1.0,2260.0,2004.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:39.110,0.4,0.9,0.4,0.9,2482.0,1967.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:40.125,0.4,0.9,0.4,1.0,2375.0,1993.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:41.119,0.4,0.9,0.4,1.0,2377.0,1984.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:42.115,0.4,0.9,0.4,0.9,2401.0,1977.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:43.114,0.4,0.9,0.4,0.9,2332.0,1996.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:44.122,0.4,0.9,0.4,0.9,2253.0,2037.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:15:45.121,0.4,0.9,0.4,1.0,2381.0,2003.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:46.116,0.4,0.9,0.4,1.0,2380.0,2001.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:47.114,0.4,0.9,0.4,0.9,2342.0,2007.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:48.123,0.4,0.9,0.4,1.0,2360.0,2016.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:49.122,0.4,0.8,0.4,0.9,2338.0,2041.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:50.117,0.4,0.9,0.4,1.0,2349.0,1981.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:51.113,0.4,0.9,0.4,0.9,2313.0,1983.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:52.124,0.4,0.9,0.4,1.0,2405.0,1998.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:53.119,0.4,0.9,0.4,1.0,2389.0,1993.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:54.115,0.4,0.9,0.4,0.9,2218.0,2037.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:55.111,0.4,0.9,0.4,0.9,2326.0,1983.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:56.122,0.4,0.9,0.4,0.9,2313.0,2015.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:57.119,0.4,0.9,0.4,1.0,2293.0,1997.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:58.110,0.4,0.9,0.4,0.9,2369.0,2029.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:15:59.112,0.4,0.9,0.4,1.0,2259.0,2048.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:00.110,0.4,0.9,0.4,1.0,2447.0,1988.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:01.110,0.4,0.9,0.4,1.0,2271.0,2025.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:02.118,0.4,0.9,0.4,1.0,2348.0,2037.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:03.110,0.4,0.9,0.4,0.9,2387.0,1995.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:04.111,0.4,0.9,0.4,1.0,2264.0,2038.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:05.125,0.4,0.9,0.4,1.0,2288.0,2015.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:06.121,0.4,0.9,0.4,0.9,2454.0,1985.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:07.119,0.4,0.9,0.4,1.0,2200.0,2037.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:08.115,0.4,0.9,0.4,0.9,2206.0,2052.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:09.114,0.4,0.9,0.4,1.0,2329.0,2035.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:10.125,0.4,0.9,0.4,1.0,2298.0,2037.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:11.121,0.4,0.9,0.4,1.0,2360.0,1980.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:12.120,0.4,0.9,0.4,0.9,2338.0,1980.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:13.116,0.4,0.9,0.4,1.0,2278.0,2014.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:14.113,0.4,1.0,0.4,1.0,2359.0,2014.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:15.110,0.4,0.9,0.4,1.0,2233.0,2097.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:16.125,0.4,0.8,0.4,1.0,2296.0,2008.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:17.120,0.4,0.9,0.4,1.0,2284.0,2036.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:18.117,0.4,0.9,0.4,1.0,2401.0,1996.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:19.113,0.4,0.9,0.4,0.9,2205.0,2046.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:20.114,0.4,1.0,0.4,1.0,2377.0,2033.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:21.124,0.4,0.9,0.4,0.9,2277.0,2026.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:22.119,0.4,0.9,0.4,1.0,2416.0,2001.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:23.111,0.4,0.9,0.4,1.0,2349.0,1975.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:24.112,0.4,0.9,0.4,0.9,2270.0,2007.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:25.111,0.4,0.9,0.4,1.0,2299.0,2054.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:26.124,0.4,1.0,0.4,0.9,2256.0,2028.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:16:27.122,0.4,1.0,0.4,1.0,2360.0,1950.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:28.120,0.4,0.9,0.4,1.0,2353.0,2007.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:29.116,0.4,0.9,0.4,1.0,2293.0,2014.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:16:30.112,0.4,0.9,0.4,1.0,2443.0,1997.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:31.125,0.4,0.9,0.4,0.9,2339.0,2010.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:32.120,0.4,0.9,0.4,1.0,2315.0,2000.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:33.114,0.4,0.9,0.4,0.9,2383.0,1969.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:34.122,0.4,0.8,0.4,0.9,2234.0,2053.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:35.121,0.4,0.9,0.4,0.9,2356.0,2016.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:36.117,0.4,0.9,0.4,0.9,2314.0,2036.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:16:37.117,0.4,0.9,0.4,1.0,2307.0,2061.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:38.116,0.4,0.9,0.4,0.9,2357.0,2014.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:39.119,0.4,0.9,0.4,0.9,2344.0,2013.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:40.114,0.4,0.9,0.4,1.0,2400.0,2004.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:41.114,0.4,0.9,0.4,0.9,2300.0,2066.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:42.118,0.4,0.9,0.4,0.9,2406.0,2001.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:16:43.126,0.4,0.9,0.4,0.9,2329.0,2007.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:44.121,0.4,1.0,0.4,0.9,2270.0,2029.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:45.115,0.4,0.9,0.4,1.0,2305.0,2003.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:46.123,0.4,0.9,0.4,0.9,2225.0,2078.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:47.124,0.4,0.9,0.4,1.0,2394.0,2023.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:48.110,0.4,0.9,0.4,1.0,2329.0,1989.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:49.111,0.4,1.0,0.4,1.0,2271.0,2062.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:16:50.111,0.4,0.9,0.4,1.0,2301.0,2039.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:51.110,0.4,0.9,0.4,1.0,2454.0,1999.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:52.110,0.4,0.9,0.4,1.0,2302.0,2034.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:53.110,0.4,1.0,0.4,1.1,2374.0,1986.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.0,0.0,
2025年12月13日 18:16:54.115,0.4,0.9,0.4,1.0,2314.0,2035.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:55.110,0.4,0.9,0.4,1.0,2310.0,2032.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:56.118,0.4,0.9,0.4,0.9,2371.0,2030.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:57.111,0.4,0.9,0.4,0.9,2328.0,1992.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:58.111,0.4,0.9,0.4,0.9,2187.0,2039.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:16:59.112,0.4,0.9,0.4,1.0,2377.0,2005.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:00.110,0.4,0.9,0.4,1.0,2389.0,2017.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:01.112,0.4,0.9,0.4,1.0,2363.0,1991.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:02.110,0.4,1.0,0.4,1.0,2348.0,1975.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:03.110,0.4,0.9,0.4,0.9,2317.0,1974.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:04.111,0.4,0.9,0.4,1.0,2426.0,2008.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:05.110,0.4,0.9,0.4,0.9,2269.0,2082.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:06.112,0.4,0.9,0.4,1.0,2367.0,2017.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:07.110,0.4,0.9,0.4,1.0,2299.0,1996.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:08.110,0.4,0.8,0.4,0.9,2371.0,2018.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:09.111,0.4,0.9,0.4,0.9,2344.0,2020.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:10.109,0.4,0.8,0.4,1.0,2366.0,2020.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:11.110,0.4,0.9,0.4,1.0,2402.0,2002.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:17:12.109,0.4,0.9,0.4,0.9,2277.0,2035.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:13.110,0.4,0.9,0.4,1.0,2274.0,2079.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:14.111,0.4,0.9,0.4,1.0,2300.0,2033.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:15.110,0.4,0.9,0.4,0.9,2176.0,2042.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:16.110,0.4,0.9,0.4,0.9,2395.0,2030.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:17.110,0.4,0.9,0.4,1.0,2270.0,2028.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:18.111,0.4,1.0,0.4,1.0,2363.0,1996.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:19.111,0.4,0.9,0.4,1.0,2344.0,2028.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:20.111,0.4,0.9,0.4,1.0,2364.0,2011.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:21.110,0.4,0.9,0.4,0.9,2209.0,2045.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:22.111,0.4,0.9,0.4,0.9,2307.0,2026.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:23.109,0.4,0.9,0.4,1.0,2381.0,1988.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:24.110,0.4,0.9,0.4,1.0,2415.0,2014.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:25.110,0.4,0.9,0.4,1.0,2419.0,1986.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:26.111,0.4,1.0,0.4,1.0,2388.0,1993.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:27.110,0.4,0.9,0.4,1.0,2409.0,2016.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:28.110,0.4,0.9,0.4,1.0,2345.0,2014.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:29.112,0.4,0.9,0.4,0.9,2178.0,2035.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:30.111,0.4,0.9,0.4,0.9,2395.0,2009.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:17:31.111,0.4,1.0,0.4,0.9,2348.0,1992.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:17:32.111,0.4,0.9,0.4,0.9,2345.0,2023.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:33.110,0.4,0.9,0.4,1.0,2146.0,2069.0, -259.7,-20.0,0.0,-259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:34.110,0.4,0.8,0.4,0.9,2201.0,2101.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:17:35.111,0.4,0.9,0.4,1.0,2459.0,2021.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:36.111,0.4,0.8,0.4,0.9,2403.0,1994.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:37.111,0.4,0.9,0.4,1.0,2329.0,2028.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:38.111,0.4,0.9,0.4,0.9,2380.0,2000.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:39.110,0.4,0.9,0.4,0.9,2263.0,2035.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:40.110,0.4,0.9,0.4,0.9,2440.0,1985.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:41.110,0.4,1.0,0.4,1.0,2361.0,2004.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:42.111,0.4,0.9,0.4,1.0,2293.0,2044.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:43.111,0.4,0.9,0.4,1.0,2368.0,2006.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:44.111,0.4,0.9,0.4,1.0,2291.0,2043.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:45.111,0.4,0.9,0.4,1.0,2258.0,2035.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:46.111,0.4,1.0,0.4,1.1,2449.0,2007.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:47.111,0.4,0.9,0.4,1.0,2228.0,2074.0, -259.7,-20.1,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.2,0.0,
2025年12月13日 18:17:48.110,0.4,0.9,0.4,1.0,2239.0,2055.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:49.109,0.4,0.9,0.4,0.9,2365.0,1978.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:50.110,0.4,0.9,0.4,1.0,2250.0,2008.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:51.110,0.4,0.9,0.4,0.9,2314.0,1984.0, -259.7,-20.1,0.0,-259.7,-20.0,0.0,-259.7,-20.3,0.0,-259.7,-20.1,0.0,
2025年12月13日 18:17:52.111,0.4,0.9,0.4,1.0,2321.0,2021.0, -259.7,-20.0,0.0,-259.7,-20.0,0.0,-259.7,-20.2,0.0,-259.7,-20.1,0.0,
