时间,LD1电流(A),LD1电压(V),LD2电流(A),LD2电压(V),PD温度(℃),PD功率(W),TEC1温度(℃),TEC1电流(A),TEC1功率(W),TEC2温度(℃),TEC2电流(A),TEC2功率(W),TEC3温度(℃),TEC3电流(A),TEC3功率(W),TEC4温度(℃),TEC4电流(A),TEC4功率(W),
2025年12月18日 22:47:12.462,0.3,0.6,0.3,0.7,2004.0,1890.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:47:13.461,0.3,0.6,0.3,0.7,1970.0,1902.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:05.427,0.3,0.6,0.3,0.7,2040.0,1924.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:06.427,0.3,0.6,0.3,0.7,2072.0,1937.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:07.428,0.3,0.6,0.3,0.7,2194.0,1950.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:08.427,0.3,0.6,0.3,0.7,2080.0,1927.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:09.427,0.3,0.6,0.3,0.7,2003.0,1906.0, -259.7,-20.1,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:10.428,0.3,0.7,0.3,0.7,2031.0,1954.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:23.438,0.3,0.6,0.3,0.7,2037.0,1891.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:24.429,0.3,0.6,0.3,0.7,2033.0,1926.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:25.430,0.3,0.6,0.3,0.6,2110.0,1945.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:26.429,0.3,0.6,0.3,0.7,2132.0,1945.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:27.428,0.3,0.6,0.3,0.7,2002.0,1938.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:28.429,0.3,0.6,0.3,0.7,1996.0,1914.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:29.429,0.3,0.7,0.3,0.6,1977.0,1892.0, -259.7,-20.2,0.0,-259.7,-20.1,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:30.429,0.3,0.6,0.3,0.6,2008.0,1913.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.4,0.0,-259.7,-20.3,0.0,
2025年12月18日 22:50:31.428,0.3,0.7,0.3,0.7,2023.0,1912.0, -259.7,-20.2,0.0,-259.7,-20.2,0.0,-259.7,-20.3,0.0,-259.7,-20.3,0.0,
